10000 87
20000 60
30000 60
40000 61
50000 61
60000 60
70000 61
80000 61
90000 58
100000 61
110000 66
120000 59
130000 61
140000 59
150000 61
160000 61
170000 60
180000 61
190000 60
200000 60
210000 92
220000 63
230000 60
240000 60
250000 61
260000 61
270000 60
280000 59
290000 61
300000 61
310000 60
320000 62
330000 62
340000 59
350000 60
360000 60
370000 59
380000 60
390000 60
400000 59
410000 60
420000 59
430000 59
440000 60
450000 58
460000 66
470000 61
480000 60
490000 60
500000 62
510000 61
520000 60
530000 60
540000 60
550000 63
560000 61
570000 61
580000 59
590000 58
600000 58
610000 67
620000 57
630000 58
640000 57
650000 58
660000 58
670000 58
680000 58
690000 58
700000 58
710000 58
720000 58
730000 57
740000 58
750000 71
760000 58
770000 58
780000 57
790000 58
800000 59
810000 57
820000 58
830000 58
840000 57
850000 61
860000 57
870000 61
880000 71
890000 57
900000 58
910000 58
920000 57
930000 59
940000 62
950000 57
960000 58
970000 58
980000 57
990000 58
1000000 61
