10000 151
20000 232
30000 330
40000 427
50000 539
60000 655
70000 733
80000 857
90000 936
100000 1135
110000 1172
120000 1249
130000 1310
140000 1444
150000 1504
160000 1657
170000 1750
180000 1888
190000 2040
200000 2169
210000 2191
220000 2263
230000 2363
240000 2539
250000 2565
260000 2724
270000 3009
280000 2884
290000 2986
300000 3128
310000 3288
320000 3338
330000 3481
340000 3513
350000 3637
360000 3714
370000 3970
380000 3841
390000 4052
400000 4233
410000 4337
420000 4361
430000 4442
440000 4698
450000 5208
460000 5185
470000 5487
480000 5536
490000 6077
500000 5958
510000 5876
520000 5959
530000 6095
540000 6180
550000 6316
560000 6456
570000 6584
580000 6689
590000 6765
600000 6936
610000 6994
620000 7124
630000 7237
640000 7628
650000 7616
660000 7612
670000 7775
680000 7686
690000 7804
700000 8105
710000 8207
720000 8213
730000 8207
740000 8530
750000 8633
760000 8696
770000 9110
780000 9129
790000 9541
800000 9694
810000 9384
820000 9244
830000 9453
840000 9697
850000 9923
860000 9973
870000 10830
880000 10300
890000 10210
900000 10311
910000 12200
920000 10685
930000 10806
940000 10924
950000 10928
960000 11018
970000 11253
980000 11307
990000 11567
1000000 11527
